Respondent_ID,What is your age group?_discretized,What is your gender?_discretized,What is the highest level of education you’ve completed? _discretized,How often do you watch movies?_discretized,How often do you stop watching movies before finishing them?_discretized,Have you ever started watching a movie but did not finish it?_binary,unfinished_movie_2_reasons_binary,unfinished_movie_4_reasons_binary,likes_action,likes_comedy,likes_drama,likes_horror,likes_romance,likes_science_fiction_sci-fi,likes_documentary,likes_thriller,likes_family,likes_adventure,likes_fantasy,likes_historical,drops_due_to_boring_uninteresting_plot,drops_due_to_poor_acting_or_characters,drops_due_to_too_long_slow_pacing,drops_due_to_technical_issues,drops_due_to_distractions_or_interruptions,drops_due_to_not_in_the_right_mood,total_liked_genres,total_drop_reasons,engagement_score,dropout_tendency,high_engagement_user,high_dropout_user
1,2,1.0,4,2.0,2,1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6.0,2.0,0,0
2,1,2.0,1,2.0,3,1,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
3,1,2.0,3,2.0,1,1,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,3,5,6.0,1.6666666666666667,0,0
4,1,1.0,3,1.0,3,1,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
5,1,2.0,3,1.0,2,1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
6,1,2.0,1,1.0,2,1,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
7,1,1.0,1,1.0,3,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,6,6,6.0,1.0,0,0
8,1,1.0,3,2.0,2,1,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,6,8.0,1.5,0,0
9,1,2.0,3,4.0,1,1,0.0,0.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,9,6,36.0,0.6666666666666666,1,0
10,1,1.0,3,1.0,3,1,0.0,0.0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,6,6,6.0,1.0,0,0
